2023-09-04 10:54:38.602 | [restartedMain] | INFO  | cl.sonda.mentoring.MainApplication | Starting MainApplication using Java 17.0.7 with PID 70504 (C:\Users\jmolinar\VisualStudioCode\mentoring-01-spring-boot\target\classes started by jmolinar in C:\Users\jmolinar\VisualStudioCode\mentoring-01-spring-boot)
2023-09-04 10:54:38.604 | [restartedMain] | DEBUG | cl.sonda.mentoring.MainApplication | Running with Spring Boot v3.1.3, Spring v6.0.11
2023-09-04 10:54:38.606 | [restartedMain] | INFO  | cl.sonda.mentoring.MainApplication | The following 4 profiles are active: "v2", "v1", "logger", "database"
2023-09-04 10:54:44.545 | [restartedMain] | WARN  | org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-09-04 10:54:45.086 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:54:45.090 | [restartedMain] | INFO  | cl.sonda.mentoring.MainApplication | Started MainApplication in 7.017 seconds (process running for 8.018)
2023-09-04 10:54:45.100 | [restartedMain] | INFO  | cl.sonda.mentoring.holamundo.CommandLineRunnerV3 | CommandLineRunner llamando asincrono
2023-09-04 10:54:45.112 | [restartedMain] | INFO  | cl.sonda.mentoring.holamundo.CommandLineRunnerV3 | CommandLineRunner fin llamado asincrono
2023-09-04 10:54:45.113 | [restartedMain] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService2 | Hola cl.sonda.mentoring.holamundo.CommandLineRunnerV1@7a207c0e properties
2023-09-04 10:54:45.113 | [restartedMain] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService2 | Hola cl.sonda.mentoring.holamundo.CommandLineRunnerV2@222f3e6b properties
2023-09-04 10:54:50.088 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:54:52.114 | [task-1] | INFO  | cl.sonda.mentoring.holamundo.ClaseAsincrona | Hola mundo desde async 
2023-09-04 10:54:55.090 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:55:00.095 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:55:05.098 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:55:10.109 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:55:15.120 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:55:20.122 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:55:25.124 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:55:30.126 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:55:35.131 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:55:40.132 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:55:45.149 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:55:50.161 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:55:55.166 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:56:00.172 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:56:05.186 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
2023-09-04 10:56:10.192 | [scheduling-1] | INFO  | cl.sonda.mentoring.holamundo.HolaMundoService1 | Hola cl.sonda.mentoring.holamundo.CrontabClass@bafda04 properties
